year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,406.0,444.2,3.4,1168.8,19.0,113.0,1920.0,340.0,0.0,2.8,9.0,5.0,1.432
2.0,406.0,559.9,2.3,1526.0,18.0,121.0,1970.0,430.0,0.0,8.5,14.0,5.0,1.464
3.0,406.0,364.6,4.3,1027.0,16.0,113.0,2000.0,440.0,0.0,15.3,14.0,6.0,1.482
4.0,406.0,293.2,2.9,1302.0,12.0,115.0,2000.0,560.0,0.0,18.3,15.0,6.0,1.516
5.0,406.0,662.4,2.7,1564.0,22.0,117.0,2108.0,512.0,0.0,38.4,17.0,7.0,1.532
6.0,406.0,620.1,2.6,1294.0,22.0,117.0,2190.0,575.0,1.7,43.6,20.0,8.0,1.568
7.0,406.0,637.7,3.5,1052.0,23.0,123.0,2250.0,590.0,2.4,51.2,21.0,9.0,1.593
8.0,406.0,695.7,3.3,1366.0,17.0,122.0,2350.0,550.0,3.5,56.3,24.0,10.0,1.612
9.0,406.0,552.3,2.7,1537.0,21.0,112.0,2510.0,590.0,4.8,70.3,24.0,11.0,1.621
10.0,406.0,593.1,2.2,1642.0,24.0,130.0,2510.0,610.0,6.0,76.9,27.0,11.0,1.642
