year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,1351.0,645.0,8.2,206.0,4.0,117.0,1575.0,619.0,0.0,0.0,4.0,10.0,1.311
2.0,1351.0,649.0,8.7,48.2,4.0,117.0,1550.0,608.0,0.0,1.5,7.0,10.0,1.338
3.0,1351.0,745.6,9.4,139.0,5.0,115.0,1550.0,621.0,0.0,2.1,15.0,10.0,1.382
4.0,1351.0,846.1,7.1,270.0,5.0,120.0,1500.0,600.0,0.0,2.6,15.0,11.0,1.405
5.0,1351.0,580.2,8.3,204.5,4.0,112.0,1500.0,600.0,0.0,3.4,16.0,11.0,1.436
6.0,1351.0,1101.2,8.7,78.2,6.0,121.0,1550.0,608.0,0.0,5.3,16.0,11.0,1.46
7.0,1351.0,1039.7,8.9,99.0,5.0,114.0,1375.0,539.0,11.3,5.8,17.0,13.0,1.62
8.0,1351.0,605.7,8.4,104.4,4.0,114.0,1375.0,539.0,14.2,6.3,18.0,14.0,1.71
9.0,1351.0,1243.4,7.7,145.3,3.0,110.0,1400.0,512.0,18.3,8.3,19.0,16.0,1.91
10.0,1351.0,667.3,8.1,161.0,5.0,114.0,1550.0,543.0,20.5,9.45,19.0,17.0,1.93
