year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,635.0,507.9,10.6,133.0,6.0,105.0,6325.0,1860.0,2.0,261.4,28.0,4.0,1.292
2.0,635.0,668.2,10.8,124.0,6.0,99.0,6325.0,1390.0,3.3,263.6,31.0,6.0,1.335
3.0,635.0,334.8,10.3,191.0,5.0,100.0,13707.0,2071.0,3.2,298.3,32.0,7.0,1.365
4.0,635.0,576.5,10.6,133.0,6.0,107.0,11520.0,1738.0,3.5,312.6,37.0,8.0,1.381
5.0,635.0,719.1,10.2,164.0,7.0,103.0,14760.0,2230.0,5.4,332.2,57.0,8.0,1.445
6.0,635.0,759.5,10.7,158.0,6.0,104.0,18770.0,2840.0,6.8,333.9,75.0,9.0,1.487
7.0,635.0,714.8,10.6,176.0,5.0,97.0,18770.0,2840.0,8.4,345.2,79.0,10.0,1.511
8.0,635.0,594.4,10.5,310.0,8.0,100.0,30915.0,4672.0,11.1,369.6,91.0,10.0,1.529
9.0,635.0,571.8,9.8,231.0,6.0,99.0,30420.0,4597.0,12.2,391.6,124.0,11.0,1.643
10.0,635.0,629.2,9.3,231.0,9.0,98.0,30330.0,3924.0,14.1,402.3,157.0,12.0,1.767
