year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,876.0,338.3,8.6,395.0,5.0,109.0,2520.0,355.0,0.0,7.3,0.0,7.0,1.107
2.0,876.0,316.9,7.8,336.2,5.0,124.0,2925.0,375.0,0.0,7.8,0.0,7.0,1.41
3.0,876.0,346.3,8.2,338.0,7.0,110.0,3130.0,375.0,0.0,13.3,0.0,8.0,1.532
4.0,876.0,300.5,7.3,382.0,6.0,107.0,3465.0,441.0,0.0,23.3,1.0,8.0,1.592
5.0,876.0,289.7,8.7,347.8,5.0,110.0,2640.0,415.0,0.5,34.5,1.0,10.0,1.652
6.0,876.0,320.1,8.2,165.6,6.0,125.0,4230.0,385.0,4.0,43.2,1.0,10.0,1.726
7.0,876.0,337.5,8.3,420.0,4.0,107.0,4430.0,410.0,7.0,54.3,1.0,10.0,1.772
8.0,876.0,368.2,7.9,360.8,5.0,109.0,4740.0,425.0,8.0,59.6,2.0,12.0,1.901
9.0,876.0,266.8,8.2,278.2,7.0,112.0,5150.0,455.0,13.0,73.5,2.0,12.0,2.008
10.0,876.0,269.0,8.5,175.8,6.0,104.0,5450.0,505.0,18.5,85.4,2.0,13.0,2.091
