year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,440.0,495.4,1.8,2365.0,16.0,120.0,1699.0,131.0,0.0,62.3,19.0,3.0,1.159
2.0,440.0,467.8,3.0,1792.0,19.0,118.0,1732.0,132.0,0.0,70.7,19.0,3.0,1.25
3.0,440.0,765.4,3.1,1974.6,21.0,114.0,1521.0,117.0,0.0,175.7,21.0,4.0,1.283
4.0,440.0,530.2,2.5,1676.0,24.0,118.0,1630.0,127.0,0.0,203.2,23.0,4.0,1.302
5.0,440.0,726.5,2.4,1740.0,20.0,114.0,1709.0,131.0,0.0,251.9,27.0,5.0,1.347
6.0,440.0,544.2,3.5,1779.8,20.0,119.0,1812.0,139.0,0.0,281.8,27.0,5.0,1.429
7.0,440.0,585.4,2.6,2091.7,17.0,119.0,1920.0,148.0,0.0,303.0,36.0,6.0,1.582
8.0,440.0,760.3,1.0,2536.0,23.0,114.0,2035.0,157.0,0.0,315.2,39.0,6.0,1.732
9.0,440.0,642.5,2.7,1900.8,19.0,121.0,2158.0,166.0,0.0,320.2,39.0,7.0,1.928
10.0,440.0,605.0,5.2,1286.3,22.0,120.0,2240.0,175.0,0.0,329.5,48.0,7.0,1.983
