year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,571.0,149.7,17.1,0.0,4.0,115.0,2550.0,217.0,0.0,15.2,13.0,2.0,0.609
2.0,571.0,173.7,16.9,0.0,4.0,112.0,2650.0,225.0,0.0,16.7,14.0,2.0,0.66
3.0,571.0,413.1,16.3,0.0,5.0,106.0,2650.0,225.0,0.0,17.9,15.0,3.0,0.679
4.0,571.0,533.6,17.0,0.0,4.0,114.0,3976.0,196.0,0.0,19.3,15.0,4.0,0.712
5.0,571.0,550.9,16.2,0.0,4.0,107.0,5567.0,529.0,0.0,21.2,17.0,4.0,0.741
6.0,571.0,251.5,16.6,0.0,7.0,112.0,18292.0,486.0,0.0,23.6,17.0,6.0,0.793
7.0,571.0,613.5,17.2,0.0,5.0,109.0,15660.0,854.0,0.0,26.7,18.0,6.0,0.894
8.0,571.0,365.3,17.6,0.0,4.0,116.0,15080.0,761.0,0.0,29.5,18.0,7.0,0.931
9.0,571.0,295.0,17.3,0.0,4.0,112.0,15660.0,788.0,0.0,31.5,19.0,7.0,0.99
10.0,571.0,546.8,15.6,0.0,6.0,113.0,16530.0,1015.0,0.0,33.6,19.0,7.0,1.002
