year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,432.0,218.8,14.2,1.0,3.0,102.0,6412.0,1596.0,0.0,0.0,0.0,0.0,0.31
2.0,432.0,269.0,14.8,1.0,3.0,112.0,6783.0,1689.0,0.0,0.0,0.0,0.0,0.33
3.0,432.0,362.5,14.7,10.0,4.0,117.0,7175.0,1787.0,0.0,0.0,0.0,2.0,0.341
4.0,432.0,176.8,14.9,4.0,3.0,107.0,7567.0,1885.0,0.0,0.0,0.0,2.0,0.347
5.0,432.0,327.3,15.0,4.0,3.0,115.0,5174.0,3130.0,0.0,0.0,0.0,3.0,0.351
6.0,432.0,470.6,14.3,3.0,4.0,109.0,5190.0,2737.0,0.0,0.0,0.0,3.0,0.365
7.0,432.0,520.1,14.1,4.0,6.0,115.0,4777.0,2365.0,7.0,158.1,0.0,3.0,0.382
8.0,432.0,288.2,14.3,6.0,3.0,115.0,5201.0,2808.0,18.7,239.9,1.0,3.0,0.402
9.0,432.0,328.5,14.7,22.0,2.0,119.0,6167.0,2984.0,23.1,274.2,20.0,3.0,0.415
10.0,432.0,502.8,14.1,19.0,4.0,111.0,6250.0,3100.0,25.6,288.3,50.0,3.0,0.445
