year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,318.0,2210.6,20.8,0.0,47.0,100.0,3648.0,248.0,0.0,0.0,0.0,1.0,1.422
2.0,318.0,2620.7,21.4,0.0,44.0,97.0,3586.0,235.0,0.0,0.0,0.0,1.0,1.455
3.0,318.0,1920.6,20.9,0.0,40.0,97.0,3798.0,223.0,0.0,0.0,0.0,1.0,1.484
4.0,318.0,2227.5,21.1,0.0,39.0,98.0,4010.0,210.0,0.0,0.0,0.0,1.0,1.506
5.0,318.0,1516.1,21.5,0.0,39.0,97.0,4161.0,266.0,0.0,0.0,0.0,1.0,1.517
6.0,318.0,2139.2,21.8,0.0,38.0,98.0,4312.0,320.0,0.0,0.0,0.0,1.0,1.529
7.0,318.0,1958.8,21.6,0.0,37.0,99.0,4463.0,375.0,0.0,0.0,0.0,1.0,1.534
8.0,318.0,1464.5,20.6,0.0,34.0,97.0,4895.0,285.0,0.0,0.0,0.0,1.0,1.552
9.0,318.0,1519.5,20.4,0.0,43.0,97.0,5276.0,504.0,1.0,1.0,1.0,1.0,1.563
10.0,318.0,1539.3,20.9,0.0,44.0,96.0,5454.0,608.0,1.0,2.0,2.0,1.0,1.573
