year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,662.0,1564.4,11.0,212.0,35.0,111.0,3861.0,1249.0,0.0,1.6,12.0,2.0,1.682
2.0,662.0,1199.3,12.4,32.0,34.0,118.0,3170.0,1295.0,6.2,3.6,23.0,5.0,1.712
3.0,662.0,1252.5,12.5,64.3,30.0,118.0,3100.0,1265.0,27.8,6.5,44.0,6.0,1.723
4.0,662.0,1297.4,11.1,92.0,33.0,112.0,3131.0,1278.0,37.4,10.6,56.0,9.0,1.735
5.0,662.0,1351.5,11.4,141.0,31.0,114.0,3162.0,1290.0,56.4,38.1,78.0,9.0,1.777
6.0,662.0,1251.4,11.2,254.8,27.0,117.0,3194.0,1303.0,71.5,89.9,95.0,10.0,1.794
7.0,662.0,1157.2,11.7,158.7,19.0,119.0,3226.0,1316.0,89.9,172.1,113.0,11.0,1.947
8.0,662.0,1844.3,10.8,209.0,38.0,113.0,3258.0,1330.0,109.8,222.3,144.0,12.0,1.993
9.0,662.0,1285.8,11.3,85.5,30.0,111.0,3291.0,1343.0,140.8,292.8,167.0,12.0,2.122
10.0,662.0,1110.7,12.8,33.2,27.0,117.0,3324.0,1356.0,193.7,305.6,180.0,12.0,2.212
