year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,345.0,1026.9,18.7,15.0,18.0,118.0,1308.0,167.0,0.0,58.4,0.0,4.0,0.683
2.0,345.0,630.2,20.4,0.0,16.0,124.0,3150.0,334.0,0.0,66.9,0.0,4.0,0.695
3.0,345.0,1460.1,18.9,0.4,16.0,119.0,3150.0,334.0,0.0,96.4,1.0,4.0,0.702
4.0,345.0,1296.4,18.3,0.0,22.0,115.0,2700.0,286.0,0.0,142.7,1.0,4.0,0.724
5.0,345.0,1219.7,18.7,0.0,14.0,113.0,3600.0,382.0,0.0,151.3,4.0,4.0,0.743
6.0,345.0,1665.5,18.4,1.2,38.0,113.0,3150.0,334.0,0.0,164.9,4.0,4.0,0.759
7.0,345.0,1040.3,18.9,0.2,26.0,113.0,3150.0,334.0,0.0,167.8,5.0,4.0,0.778
8.0,345.0,1283.1,18.2,11.0,23.0,120.0,3150.0,334.0,0.0,175.0,6.0,5.0,0.785
9.0,345.0,1228.8,18.8,1.8,17.0,113.0,3150.0,334.0,0.0,193.4,15.0,5.0,0.812
10.0,345.0,1227.0,19.7,0.0,25.0,115.0,3600.0,382.0,0.0,194.4,28.0,5.0,0.858
