year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,475.0,380.7,18.5,1.0,3.0,111.0,3780.0,467.0,7.5,82.1,2.0,18.0,0.994
2.0,475.0,349.8,18.4,0.0,3.0,115.0,3900.0,475.0,17.2,104.0,6.0,18.0,1.051
3.0,475.0,441.3,18.6,0.0,4.0,115.0,4100.0,500.0,19.3,111.6,24.0,19.0,1.091
4.0,475.0,288.6,18.7,0.0,3.0,110.0,4600.0,300.0,20.3,140.6,36.0,19.0,1.099
5.0,475.0,413.4,19.2,0.0,3.0,113.0,4720.0,240.0,211.6,180.5,43.0,19.0,1.11
6.0,475.0,272.5,19.4,0.0,3.0,108.0,5440.0,330.0,258.8,191.3,45.0,20.0,1.12
7.0,475.0,141.2,19.9,0.0,2.0,105.0,5600.0,300.0,271.8,195.5,51.0,20.0,1.15
8.0,475.0,198.7,19.4,0.0,2.0,106.0,6500.0,460.0,298.5,221.4,54.0,21.0,1.17
9.0,475.0,282.8,18.2,0.0,4.0,114.0,7000.0,500.0,318.5,240.4,55.0,21.0,1.19
10.0,475.0,101.6,19.6,0.0,2.0,101.0,4927.0,774.0,340.5,262.3,62.0,21.0,1.22
