year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,652.0,411.4,2.4,2089.0,12.0,111.0,1272.0,249.0,0.0,0.0,7.0,1.0,1.075
2.0,652.0,388.0,3.2,1676.0,19.0,120.0,1454.0,276.0,0.0,0.0,8.0,2.0,1.081
3.0,652.0,575.2,3.3,1761.8,17.0,113.0,1427.0,271.0,0.0,0.0,9.0,2.0,1.089
4.0,652.0,489.5,3.0,1399.0,20.0,119.0,1484.0,282.0,0.0,16.3,9.0,2.0,1.097
5.0,652.0,624.8,2.6,1523.0,20.0,119.0,1543.0,293.0,0.0,44.7,10.0,3.0,1.11
6.0,652.0,437.4,3.1,1755.0,17.0,111.0,1605.0,305.0,0.0,74.6,13.0,3.0,1.153
7.0,652.0,525.1,2.1,2017.6,19.0,117.0,1669.0,317.0,0.0,87.5,13.0,3.0,1.351
8.0,652.0,604.7,0.6,2455.0,21.0,111.0,1736.0,330.0,0.0,108.4,16.0,4.0,1.391
9.0,652.0,575.7,3.4,1623.0,20.0,115.0,1806.0,343.0,0.0,134.2,16.0,4.0,1.423
10.0,652.0,659.8,4.4,1415.7,18.0,116.0,1910.0,352.0,0.0,138.3,17.0,5.0,1.456
