year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,282.0,379.7,12.5,171.2,7.0,111.0,1850.0,255.0,6.3,0.0,13.0,16.0,1.961
2.0,282.0,564.9,13.6,57.7,4.0,108.0,1760.0,260.0,23.1,5.4,14.0,16.0,2.0
3.0,282.0,579.5,12.9,110.7,6.0,112.0,1820.0,255.0,39.4,10.6,15.0,17.0,2.016
4.0,282.0,419.9,13.0,111.7,7.0,107.0,1960.0,270.0,46.6,12.2,17.0,18.0,2.029
5.0,282.0,381.5,12.9,168.0,5.0,105.0,2050.0,290.0,53.4,18.1,24.0,18.0,2.042
6.0,282.0,449.6,13.1,121.0,5.0,102.0,1960.0,285.0,71.2,21.4,35.0,18.0,2.052
7.0,282.0,449.0,12.8,100.6,6.0,109.0,1755.0,265.0,82.4,24.8,48.0,19.0,2.065
8.0,282.0,542.1,12.8,62.0,5.0,113.0,1755.0,270.0,93.9,32.2,54.0,21.0,2.37
9.0,282.0,639.7,12.0,123.0,6.0,107.0,1822.0,257.0,98.8,37.8,55.0,23.0,2.4
10.0,282.0,444.2,13.5,58.7,6.0,110.0,1868.0,266.0,169.5,44.4,56.0,25.0,2.516
