year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,534.0,818.2,2.4,1267.0,25.0,111.0,2196.0,323.0,0.0,1.3,1.0,8.0,1.582
2.0,534.0,790.9,3.2,1083.7,22.0,115.0,1917.0,282.0,0.0,3.0,1.0,8.0,1.646
3.0,534.0,587.7,3.4,873.0,18.0,118.0,2082.0,306.0,0.0,4.1,2.0,9.0,1.685
4.0,534.0,677.9,3.2,996.0,18.0,125.0,2279.0,335.0,0.0,12.3,2.0,11.0,1.729
5.0,534.0,731.1,2.6,1388.8,17.0,114.0,2500.0,500.0,0.0,15.4,3.0,11.0,1.754
6.0,534.0,782.0,2.3,1232.3,16.0,111.0,2550.0,600.0,0.0,19.8,4.0,12.0,1.839
7.0,534.0,940.0,0.3,1820.0,23.0,114.0,2460.0,580.0,0.0,22.5,4.0,14.0,1.854
8.0,534.0,770.5,2.9,1017.0,20.0,121.0,2660.0,630.0,1.4,24.5,6.0,15.0,1.882
9.0,534.0,664.0,3.7,1140.1,14.0,117.0,2760.0,650.0,1.8,33.1,6.0,16.0,1.93
10.0,534.0,616.3,3.4,843.1,19.0,111.0,2420.0,650.0,1.9,38.7,10.0,16.0,2.106
