year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,271.8,354.5,17.0,0.0,3.0,117.0,2600.0,400.0,0.0,0.0,0.0,6.0,0.912
2.0,271.8,161.1,18.2,0.0,4.0,106.0,5950.0,1190.0,0.0,0.0,0.0,6.0,1.012
3.0,271.8,170.7,18.5,0.0,4.0,110.0,5950.0,1190.0,0.0,18.3,0.0,6.0,1.026
4.0,271.8,223.9,18.9,0.0,3.0,113.0,6260.0,1250.0,180.4,25.3,0.0,7.0,1.0678
5.0,271.8,228.2,18.4,0.1,2.0,114.0,6680.0,1500.0,184.3,37.2,0.0,7.0,1.086
6.0,271.8,225.0,17.2,0.0,4.0,103.0,6900.0,1630.0,209.3,61.0,1.0,8.0,1.346
7.0,271.8,130.0,18.4,0.0,3.0,114.0,7460.0,1850.0,335.7,130.3,1.0,8.0,1.403
8.0,271.8,100.6,19.0,0.0,2.0,108.0,8540.0,2180.0,338.4,260.4,1.0,8.0,1.475
9.0,271.8,176.5,19.0,0.0,3.0,105.0,7200.0,2300.0,341.2,300.6,105.0,8.0,1.552
10.0,271.8,53.6,19.0,0.0,2.0,110.0,4080.0,940.0,345.1,316.6,184.0,8.0,1.609
