year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,668.0,385.5,12.7,0.0,22.0,105.0,6720.0,296.0,0.2,28.2,10.0,8.0,1.319
2.0,668.0,342.4,12.9,0.0,19.0,105.0,7080.0,312.0,2.2,29.7,12.0,8.0,1.321
3.0,668.0,471.4,12.6,0.0,21.0,104.0,7560.0,305.0,4.5,32.3,14.0,8.0,1.35
4.0,668.0,510.7,13.9,0.0,20.0,105.0,7920.0,317.0,11.5,34.4,17.0,9.0,1.363
5.0,668.0,685.1,13.4,0.0,22.0,106.0,8280.0,331.0,16.7,39.9,19.0,9.0,1.389
6.0,668.0,563.2,12.7,0.0,24.0,105.0,8640.0,346.0,26.5,49.5,23.0,9.0,1.409
7.0,668.0,879.1,13.3,0.0,21.0,106.0,8880.0,355.0,33.4,62.9,31.0,9.0,1.432
8.0,668.0,731.6,13.2,0.0,24.0,104.0,9000.0,480.0,52.6,79.2,42.0,10.0,1.457
9.0,668.0,612.0,13.9,0.0,20.0,104.0,10680.0,555.0,105.4,99.8,48.0,10.0,1.464
10.0,668.0,949.5,13.1,0.0,26.0,107.0,10680.0,555.0,158.6,120.6,52.0,10.0,1.561
