year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,365.0,1370.0,15.9,39.0,23.0,118.0,1511.0,121.0,0.0,153.3,0.0,2.0,0.657
2.0,365.0,789.9,17.8,1.0,13.0,117.0,2214.0,290.0,0.0,153.3,0.0,2.0,0.673
3.0,365.0,1500.4,16.9,1.9,15.0,117.0,1544.0,207.0,0.0,256.0,0.0,3.0,0.724
4.0,365.0,1380.8,16.1,3.0,14.0,111.0,2409.0,329.0,1.3,265.6,0.0,3.0,0.778
5.0,365.0,1213.8,16.4,7.0,12.0,111.0,2623.0,365.0,15.5,298.5,2.0,3.0,0.782
6.0,365.0,2142.9,16.2,17.9,25.0,111.0,2808.0,399.0,28.9,336.9,2.0,4.0,0.844
7.0,365.0,1440.4,16.8,11.8,19.0,110.0,1890.0,423.0,88.8,456.7,7.0,4.0,0.882
8.0,365.0,1239.3,16.2,32.0,18.0,120.0,2993.0,443.0,103.5,536.6,18.0,4.0,0.949
9.0,365.0,1428.1,16.5,8.0,13.0,113.0,2970.0,448.0,124.9,570.5,34.0,7.0,0.973
10.0,365.0,1587.0,17.8,0.1,16.0,120.0,3078.0,358.0,140.4,591.4,51.0,7.0,0.997
