year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,796.0,878.0,24.0,0.0,16.0,108.0,7849.0,1115.0,0.0,0.0,0.0,4.0,0.511
2.0,796.0,1081.8,24.4,0.0,25.0,114.0,8041.0,1142.0,0.0,0.0,0.0,4.0,0.542
3.0,796.0,1473.4,23.8,0.0,29.0,107.0,8150.0,900.0,0.0,0.0,0.0,5.0,0.564
4.0,796.0,1008.3,23.1,0.0,29.0,109.0,7590.0,650.0,0.0,0.0,0.0,5.0,0.592
5.0,796.0,1234.7,23.0,0.0,39.0,106.0,7000.0,420.0,0.0,0.0,0.0,6.0,0.614
6.0,796.0,1558.3,23.7,0.0,35.0,108.0,7850.0,114.0,0.0,0.0,0.0,6.0,0.634
7.0,796.0,1846.9,23.0,0.0,45.0,111.0,9071.0,131.0,0.0,0.0,0.0,6.0,0.662
8.0,796.0,1146.6,22.8,0.0,31.0,108.0,9240.0,223.0,0.0,0.0,0.0,7.0,0.678
9.0,796.0,1368.9,23.8,0.0,26.0,105.0,9500.0,231.0,0.0,0.0,0.0,7.0,0.681
10.0,796.0,1201.2,23.9,0.0,33.0,106.0,9700.0,237.0,0.0,0.0,0.0,7.0,0.692
