year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,520.7,182.6,21.6,0.0,3.0,105.0,7200.0,2160.0,0.0,0.0,0.0,0.0,0.783
2.0,520.7,297.7,21.3,0.0,4.0,105.0,7600.0,2280.0,0.0,0.0,0.0,0.0,0.794
3.0,520.7,366.8,21.5,0.0,2.0,104.0,7840.0,2352.0,0.0,0.0,0.0,0.0,0.8
4.0,520.7,336.6,21.3,0.0,4.0,106.0,6850.0,2275.0,0.0,0.0,0.0,2.0,0.812
5.0,520.7,240.2,22.1,0.0,3.0,104.0,7200.0,2400.0,0.0,0.0,0.0,2.0,0.834
6.0,520.7,155.3,22.4,0.0,3.0,104.0,6800.0,1600.0,0.0,0.0,0.0,4.0,0.848
7.0,520.7,77.0,23.0,0.0,2.0,105.0,7050.0,2470.0,0.0,12.1,0.0,4.0,0.862
8.0,520.7,146.3,22.5,0.0,2.0,108.0,7140.0,2550.0,2.7,20.5,0.0,4.0,1.023
9.0,520.7,216.3,21.2,0.0,4.0,111.0,7430.0,2950.0,11.6,50.3,0.0,6.0,1.679
10.0,520.7,77.1,22.4,0.0,4.0,106.0,7700.0,3300.0,92.9,67.7,0.0,6.0,1.839
