year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,743.0,506.2,4.1,1017.0,15.0,110.0,850.0,270.0,0.0,0.0,32.0,2.0,2.712
2.0,743.0,541.4,4.5,928.0,15.0,108.0,945.0,245.0,0.0,0.0,32.0,2.0,2.753
3.0,743.0,656.4,4.9,761.0,16.0,105.0,970.0,249.0,0.0,0.0,35.0,2.0,2.783
4.0,743.0,622.5,4.9,713.0,11.0,115.0,1098.0,282.0,0.0,0.0,35.0,3.0,2.798
5.0,743.0,596.7,3.8,867.0,20.0,109.0,1129.0,290.0,0.0,0.0,37.0,3.0,2.818
6.0,743.0,519.2,4.4,1044.0,13.0,108.0,1200.0,200.0,0.0,11.5,51.0,7.0,2.843
7.0,743.0,653.5,3.9,941.5,14.0,116.0,1290.0,190.0,0.0,22.5,52.0,7.0,2.887
8.0,743.0,579.0,2.1,1661.0,11.0,116.0,1450.0,210.0,0.0,30.8,66.0,8.0,2.912
9.0,743.0,528.4,4.7,802.5,15.0,107.0,1620.0,230.0,0.0,70.6,69.0,9.0,2.921
10.0,743.0,559.2,5.5,831.0,10.0,114.0,1880.0,270.0,0.0,82.3,71.0,10.0,2.943
