year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,563.9,336.6,21.3,0.0,4.0,106.0,6800.0,1600.0,0.0,0.0,0.0,0.0,
2.0,563.9,240.2,22.1,0.0,3.0,104.0,7050.0,2470.0,0.0,0.0,0.0,0.0,0.881
3.0,563.9,155.3,22.4,0.0,3.0,104.0,7300.0,2800.0,0.0,0.0,0.0,0.0,0.892
4.0,563.9,77.0,23.0,0.0,2.0,105.0,7850.0,3500.0,0.0,0.0,0.0,6.0,0.912
5.0,563.9,146.3,22.5,0.0,2.0,108.0,10500.0,5430.0,0.0,0.0,0.0,6.0,0.923
6.0,563.9,216.3,21.2,0.0,4.0,111.0,12500.0,6870.0,0.0,0.0,0.0,6.0,0.939
7.0,563.9,77.1,22.4,0.0,4.0,106.0,18000.0,7600.0,0.0,0.0,0.0,7.0,0.954
8.0,563.9,90.3,22.8,0.0,2.0,105.0,21500.0,8240.0,0.0,0.0,0.0,7.0,0.96
9.0,563.9,238.5,22.8,0.0,2.0,103.0,26640.0,9353.0,0.0,72.6,0.0,8.0,0.986
10.0,563.9,62.0,22.7,0.0,2.0,102.0,30535.0,10234.0,42.5,107.6,0.0,8.0,0.998
