year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,459.7,390.5,16.4,0.0,3.0,112.0,3080.0,248.0,0.0,0.0,0.0,0.0,0.61
2.0,459.7,396.7,17.8,0.0,5.0,115.0,3960.0,320.0,0.0,0.0,0.0,0.0,0.64
3.0,459.7,210.2,18.7,0.0,3.0,113.0,4400.0,352.0,0.0,0.0,1.0,0.0,0.65
4.0,459.7,539.7,17.4,2.0,4.0,116.0,4100.0,410.0,0.0,0.0,1.0,1.0,0.67
5.0,459.7,377.0,17.2,0.0,3.0,121.0,3600.0,450.0,0.0,0.0,1.0,2.0,0.73
6.0,459.7,539.1,17.5,0.0,4.0,123.0,3800.0,475.0,0.0,5.6,2.0,2.0,0.74
7.0,459.7,422.7,17.6,0.0,3.0,114.0,3900.0,495.0,0.0,12.4,5.0,3.0,0.76
8.0,459.7,466.0,18.1,0.0,2.0,120.0,4050.0,522.0,0.0,67.7,9.0,4.0,0.77
9.0,459.7,322.1,18.4,0.0,3.0,110.0,4230.0,553.0,0.4,76.2,13.0,6.0,0.81
10.0,459.7,190.4,18.9,0.0,2.0,114.0,4360.0,567.0,1.2,86.3,16.0,6.0,0.845
