year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,612.0,236.0,7.3,657.0,3.0,111.0,430.0,65.0,0.0,167.6,14.0,4.0,2.2
2.0,612.0,336.5,7.8,517.0,6.0,111.0,395.0,75.0,0.0,209.4,16.0,5.0,2.26
3.0,612.0,370.8,6.9,562.1,7.0,112.0,375.0,100.0,3.9,272.9,22.0,5.0,2.3
4.0,612.0,458.3,7.7,485.0,8.0,110.0,425.0,90.0,6.4,304.1,37.0,6.0,2.38
5.0,612.0,466.1,6.2,564.0,7.0,113.0,450.0,95.0,9.8,314.7,51.0,6.0,2.44
6.0,612.0,291.2,8.3,416.3,6.0,110.0,470.0,89.0,14.9,322.6,53.0,6.0,2.512
7.0,612.0,483.0,7.5,260.4,8.0,109.0,495.0,80.0,19.7,356.7,57.0,7.0,2.585
8.0,612.0,521.9,7.4,526.0,6.0,110.0,525.0,85.0,19.9,380.7,59.0,8.0,2.754
9.0,612.0,495.9,7.1,542.8,6.0,110.0,542.0,81.0,22.3,402.5,60.0,8.0,2.771
10.0,612.0,360.8,7.6,391.2,9.0,109.0,565.0,87.0,24.6,410.9,62.0,9.0,2.821
