year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,520.7,539.7,17.4,2.0,4.0,116.0,3470.0,490.0,0.0,145.1,0.0,18.0,0.391
2.0,520.7,377.0,17.2,0.0,3.0,113.0,3600.0,525.0,0.0,155.7,0.0,18.0,0.398
3.0,520.7,539.1,17.5,0.0,4.0,116.0,3800.0,550.0,1.7,170.8,2.0,18.0,0.4
4.0,520.7,422.7,17.6,0.0,3.0,121.0,3900.0,590.0,2.3,178.2,25.0,19.0,0.411
5.0,520.7,466.0,18.1,0.0,2.0,123.0,4000.0,370.0,7.1,189.2,64.0,19.0,0.432
6.0,520.7,322.1,18.4,0.0,3.0,114.0,4800.0,580.0,14.5,205.3,71.0,20.0,0.455
7.0,520.7,190.4,18.9,0.0,2.0,120.0,5100.0,550.0,21.4,222.3,78.0,20.0,0.469
8.0,520.7,297.5,18.3,0.0,2.0,110.0,5300.0,500.0,27.8,270.6,88.0,22.0,0.476
9.0,520.7,326.3,17.2,0.0,4.0,114.0,4400.0,550.0,31.2,288.6,91.0,23.0,0.527
10.0,520.7,160.8,18.5,0.0,3.0,113.0,10675.0,1413.0,38.9,307.0,98.0,23.0,0.54
