year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,589.0,411.4,2.4,2089.0,12.0,111.0,1272.0,249.0,0.0,7.4,11.0,7.0,1.392
2.0,589.0,388.0,3.2,1676.0,19.0,120.0,1454.0,276.0,0.0,13.4,16.0,7.0,1.418
3.0,589.0,575.2,3.3,1761.8,17.0,113.0,1427.0,271.0,0.0,20.7,16.0,7.0,1.422
4.0,589.0,489.5,3.0,1399.0,20.0,119.0,1484.0,282.0,0.0,22.6,16.0,8.0,1.505
5.0,589.0,624.8,2.6,1523.0,20.0,119.0,1543.0,293.0,0.0,28.0,17.0,8.0,1.507
6.0,589.0,437.4,3.1,1755.0,17.0,111.0,1605.0,305.0,0.0,29.3,17.0,8.0,1.59
7.0,589.0,525.1,2.1,2017.6,19.0,117.0,1669.0,317.0,1.6,67.0,18.0,9.0,1.615
8.0,589.0,604.7,0.6,2455.0,21.0,111.0,1736.0,330.0,4.5,89.1,18.0,9.0,1.657
9.0,589.0,575.7,3.4,1623.0,20.0,115.0,1806.0,343.0,5.2,122.7,19.0,9.0,1.661
10.0,589.0,659.8,4.4,1415.7,18.0,116.0,1880.0,564.0,5.9,124.9,19.0,9.0,1.693
