year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,635.0,741.5,9.9,233.0,6.0,104.0,4320.0,1165.0,0.0,131.9,13.0,19.0,1.202
2.0,635.0,684.4,9.6,179.2,6.0,110.0,4500.0,1280.0,0.0,133.0,14.0,19.0,1.298
3.0,635.0,664.2,9.9,168.0,9.0,100.0,4500.0,1355.0,0.0,143.4,16.0,19.0,1.328
4.0,635.0,727.3,8.7,237.0,8.0,101.0,4850.0,1430.0,0.0,162.4,16.0,20.0,1.36
5.0,635.0,562.8,10.5,139.0,7.0,103.0,5100.0,1590.0,0.0,171.2,15.0,20.0,1.37
6.0,635.0,630.7,9.6,143.2,8.0,99.0,5450.0,1640.0,0.0,183.4,16.0,23.0,1.399
7.0,635.0,623.4,9.7,299.0,6.0,98.0,5800.0,1780.0,0.0,196.5,17.0,23.0,1.425
8.0,635.0,665.4,9.3,289.0,7.0,100.0,6210.0,1820.0,0.0,206.9,17.0,24.0,1.462
9.0,635.0,704.4,9.9,169.4,8.0,107.0,6390.0,1880.0,0.5,247.6,18.0,25.0,1.512
10.0,635.0,724.9,10.2,84.0,7.0,101.0,6300.0,1850.0,1.0,285.5,22.0,25.0,1.552
