year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,364.0,1226.2,19.1,13.0,22.0,111.0,4279.0,666.0,0.0,0.0,0.0,4.0,0.654
2.0,364.0,741.8,20.6,0.0,17.0,112.0,1703.0,157.0,0.0,0.0,1.0,4.0,0.693
3.0,364.0,1399.5,19.3,0.4,25.0,107.0,1922.0,181.0,0.0,0.0,2.0,4.0,0.734
4.0,364.0,1332.8,18.7,0.0,22.0,109.0,1913.0,183.0,0.0,0.0,2.0,5.0,0.774
5.0,364.0,1422.3,19.1,0.0,22.0,107.0,1735.0,170.0,0.0,0.0,3.0,6.0,0.782
6.0,364.0,1670.9,19.5,2.2,24.0,110.0,2183.0,218.0,0.4,5.0,3.0,7.0,0.807
7.0,364.0,1141.6,19.0,0.0,28.0,108.0,2240.0,281.0,0.7,5.0,17.0,7.0,0.812
8.0,364.0,947.8,19.0,3.0,22.0,110.0,2350.0,290.0,2.2,5.1,17.0,8.0,0.83
9.0,364.0,1574.4,19.3,0.0,20.0,110.0,2475.0,262.0,2.9,43.8,82.0,8.0,0.854
10.0,364.0,1251.4,20.4,0.0,22.0,111.0,2560.0,255.0,4.7,55.2,115.0,9.0,0.884
