year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,512.0,392.8,11.4,217.0,5.0,111.0,8820.0,1062.0,33.3,4.0,25.0,5.0,2.291
2.0,512.0,609.6,11.3,153.0,6.0,99.0,8640.0,1130.0,33.5,22.3,41.0,5.0,2.425
3.0,512.0,731.8,11.1,128.0,5.0,101.0,8640.0,1220.0,33.7,64.4,44.0,6.0,2.597
4.0,512.0,712.3,11.3,101.0,7.0,103.0,9135.0,1240.0,33.8,92.3,47.0,6.0,2.665
5.0,512.0,625.0,10.4,156.0,7.0,105.0,9720.0,1260.0,64.1,120.9,63.0,8.0,3.005
6.0,512.0,518.2,11.8,79.3,6.0,102.0,10300.0,1290.0,101.1,151.4,69.0,9.0,3.182
7.0,512.0,439.8,11.2,99.8,7.0,102.0,10800.0,1330.0,116.6,200.6,71.0,10.0,3.37
8.0,512.0,527.3,11.5,160.0,4.0,99.0,11100.0,1365.0,205.4,200.9,81.0,10.0,3.521
9.0,512.0,526.8,10.8,191.8,5.0,105.0,11430.0,1391.0,224.3,207.6,87.0,11.0,3.571
10.0,512.0,641.5,11.5,107.0,5.0,104.0,12831.0,1528.0,335.8,217.9,92.0,12.0,3.712
