year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,505.6,242.5,21.8,0.0,3.0,108.0,6500.0,2650.0,0.0,0.0,0.0,0.0,0.491
2.0,505.6,135.4,22.2,0.0,2.0,111.0,7000.0,3240.0,0.0,0.0,0.0,0.0,0.512
3.0,505.6,54.8,22.7,0.0,2.0,111.0,8500.0,3500.0,0.0,0.0,0.0,3.0,0.534
4.0,505.6,168.4,22.0,0.0,2.0,113.0,6000.0,2400.0,0.0,0.0,0.0,4.0,0.567
5.0,505.6,218.8,20.9,0.0,4.0,113.0,6400.0,2500.0,0.0,0.0,0.0,55.0,0.649
6.0,505.6,84.0,22.0,0.0,3.0,104.0,19437.0,7674.0,0.0,0.0,0.0,5.0,0.66
7.0,505.6,75.9,22.4,0.0,2.0,107.0,22755.0,8472.0,0.0,0.0,0.0,5.0,0.684
8.0,505.6,183.9,22.3,0.0,3.0,109.0,26640.0,9353.0,0.0,266.4,8.0,6.0,0.715
9.0,505.6,55.1,22.2,0.0,2.0,103.0,30525.0,10234.0,0.0,301.0,11.0,6.0,0.734
10.0,505.6,198.0,22.5,0.0,4.0,104.0,12159.0,7469.0,0.0,305.0,12.0,7.0,0.746
