year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,381.0,646.9,15.2,6.0,4.0,106.0,3100.0,226.0,0.0,11.1,1.0,3.0,1.671
2.0,381.0,548.3,15.5,8.0,6.0,102.0,2800.0,204.0,0.0,29.5,5.0,3.0,1.684
3.0,381.0,884.5,15.5,0.0,6.0,105.0,2500.0,180.0,0.0,71.0,13.0,4.0,1.692
4.0,381.0,965.7,16.3,0.0,5.0,105.0,2100.0,110.0,0.0,118.4,18.0,5.0,1.697
5.0,381.0,1007.3,15.2,0.0,5.0,101.0,1875.0,90.0,0.7,148.7,18.0,5.0,1.727
6.0,381.0,806.5,15.3,0.0,5.0,104.0,1875.0,92.0,4.8,170.4,18.0,5.0,1.736
7.0,381.0,1658.6,15.7,0.0,3.0,101.0,1775.0,80.0,6.5,185.4,19.0,6.0,1.742
8.0,381.0,1754.6,16.1,0.0,6.0,104.0,1775.0,80.0,20.5,215.5,19.0,6.0,1.753
9.0,381.0,915.6,16.2,0.2,5.0,106.0,2054.0,93.0,77.9,22.5,20.0,7.0,1.802
10.0,381.0,1642.0,14.2,2.3,7.0,109.0,1876.0,84.0,116.5,229.7,23.0,7.0,1.841
