year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,743.0,572.2,5.4,447.6,17.0,110.0,1970.0,480.0,0.0,0.0,0.0,2.0,1.603
2.0,743.0,412.6,4.3,871.0,16.0,116.0,1810.0,450.0,0.0,0.0,0.0,2.0,1.639
3.0,743.0,307.3,5.6,672.0,11.0,108.0,1920.0,570.0,0.0,153.1,0.0,2.0,1.657
4.0,743.0,625.6,4.2,789.0,15.0,112.0,2100.0,630.0,0.0,155.7,0.0,2.0,1.668
5.0,743.0,602.6,4.7,932.0,13.0,112.0,2695.0,783.0,0.0,201.8,0.0,4.0,1.673
6.0,743.0,728.3,4.8,685.0,14.0,110.0,2700.0,810.0,0.6,218.9,0.0,4.0,1.689
7.0,743.0,652.7,4.7,709.0,18.0,113.0,3450.0,850.0,2.2,229.4,0.0,4.0,1.693
8.0,743.0,511.1,5.4,676.0,18.0,117.0,3800.0,980.0,3.4,245.2,0.0,4.0,1.712
9.0,743.0,631.0,4.7,819.0,16.0,108.0,4300.0,1110.0,6.7,254.3,1.0,5.0,1.743
10.0,743.0,674.5,3.9,1012.0,20.0,115.0,4510.0,1550.0,11.7,259.8,21.0,5.0,1.76
